"zcta","state","puma22","stab","ZIPName","PUMA22name","pop20","afact"
"ZIP census tabulation area","State code","PUMA (2022)","State abbr.","ZIP Code name","PUMA22 name","Total population (2020 Census)","zcta-to-puma22 allocation factor"
"90230","06","03747","CA","Culver City, CA","Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills)",3,0.0001 
"90230","06","03748","CA","Culver City, CA","Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities",32740,0.9999 
"90232","06","03748","CA","Culver City, CA","Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities",14422,0.8766 
"90232","06","03770","CA","Culver City, CA","Los Angeles County (West Central)--LA City (West Los Angeles, Century City & Palms) P",2030,0.1234 
"90240","06","03753","CA","Downey, CA","Los Angeles County (South)--Downey City",26483,0.9995 
"90240","06","03781","CA","Downey, CA","Los Angeles County (Southeast)--Norwalk City",12,0.0005 
"90241","06","03753","CA","Downey, CA","Los Angeles County (South)--Downey City",43498,0.9683 
"90241","06","03781","CA","Downey, CA","Los Angeles County (Southeast)--Norwalk City",1423,0.0317 
"90242","06","03753","CA","Downey, CA","Los Angeles County (South)--Downey City",42939,1 
"90245","06","03760","CA","El Segundo, CA","Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities",17272,1 
"90247","06","03750","CA","Gardena, CA","Los Angeles County (South Central)--LA City (South Central/Westmont)",5129,0.1057 
"90247","06","03758","CA","Gardena, CA","Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens",43414,0.8943 
"90248","06","03750","CA","Gardena, CA","Los Angeles County (South Central)--LA City (South Central/Westmont)",572,0.0506 
